View,K_00,K_01,K_02,K_11,K_12,K_22,R_00,R_01,R_02,R_10,R_11,R_12,R_20,R_21,R_22,T_0,T_1,T_2
0,536.3795091147283,-2.4995475518622183,352.3608280455996,538.3903605603587,236.13499855328953,1.0,0.8964604194536825,-0.16432587850726088,-0.41152851906732413,0.08925988972196156,0.9766267542330723,-0.19553223520176308,0.4340407681770818,0.1385539193562971,0.8901749395434907,-2.8983659733048235,-3.2749138043667267,11.497178314394832
1,536.3795091147283,-2.4995475518622183,352.3608280455996,538.3903605603587,236.13499855328953,1.0,0.16141600347903323,-0.802724249728204,-0.5740894117810826,0.9821741787983594,0.1874466593665079,0.014058178904319374,0.09632630130253288,-0.5661250116278463,0.8186719213987644,1.5991709814769044,-4.467785382218948,13.947207930470979
2,536.3795091147283,-2.4995475518622183,352.3608280455996,538.3903605603587,236.13499855328953,1.0,-0.23810517775241813,-0.9517356026055942,0.19366276632449314,0.917592335734552,-0.15508329134944235,0.36602387646905393,-0.31832409542587037,0.2648556502647997,0.9102314292497877,2.9044382606009864,-3.54035258415333,13.06227031746783
3,536.3795091147283,-2.4995475518622183,352.3608280455996,538.3903605603587,236.13499855328953,1.0,-0.3119114209372287,-0.8747518884687545,0.37083742948799914,0.9500905947974057,-0.2845958900081185,0.1278007866485914,-0.006255171175187708,0.3921916789158518,0.9198622504607603,0.46825375775946054,-2.898303150702326,15.655231012159318
4,536.3795091147283,-2.4995475518622183,352.3608280455996,538.3903605603587,236.13499855328953,1.0,0.14878329790910855,-0.8955056229439317,-0.4194439289572443,0.9630351694706415,0.22753806711495986,-0.14418630439899824,0.22455910719884412,-0.3824867413249618,0.8962572733789499,1.5429261889708037,-4.356527208720193,12.899084584070993
5,536.3795091147283,-2.4995475518622183,352.3608280455996,538.3903605603587,236.13499855328953,1.0,0.2118711733394671,-0.9728412016465702,0.093223399887659,0.8585022271403101,0.23084948472185093,0.4579109535693408,-0.4669952161456095,-0.016985634592583492,0.8840966894602664,2.0720567142016,-4.609761360585434,13.14469143152488
6,536.3795091147283,-2.4995475518622183,352.3608280455996,538.3903605603587,236.13499855328953,1.0,0.007804938162543397,-0.9962086912018465,0.08664482970254403,0.9285342139603637,0.03938158439080934,0.36915214250479367,-0.3711647834120161,0.07757147919676094,0.9253212248565023,1.757786015647466,-4.113565707958147,13.205790964761688
7,536.3795091147283,-2.4995475518622183,352.3608280455996,538.3903605603587,236.13499855328953,1.0,0.3042000517960632,-0.9518241749196428,0.03864024489846359,0.8346187080554269,0.24674925273501333,-0.4924697132196077,0.4592101269039725,0.18205918354549816,0.8694713986299861,1.1108425135868547,-3.677952430307594,11.934374891314551
8,536.3795091147283,-2.4995475518622183,352.3608280455996,538.3903605603587,236.13499855328953,1.0,-0.09164638673453245,-0.9597226762729166,0.2655811070954672,0.9886809630281851,-0.11951152141263478,-0.09070253356603292,0.1187892804261583,0.25426242525624343,0.9598123389281098,6.429152946627508,-2.6274192116285002,14.406812339861405
9,536.3795091147283,-2.4995475518622183,352.3608280455996,538.3903605603587,236.13499855328953,1.0,0.1121119273188793,0.9796078501107557,0.1667314480061556,-0.7409997795562985,0.19421149487443734,-0.6428072976842698,-0.6620802386798471,-0.05148160117963954,0.7476626259815433,-2.576316860492077,3.233551984499556,14.278419685585922
10,536.3795091147283,-2.4995475518622183,352.3608280455996,538.3903605603587,236.13499855328953,1.0,0.9745791791642635,-0.001658361780921192,0.2240372142652031,0.02054951857101476,0.99641910824858,-0.08201632766469918,-0.22309894850941908,0.08453526218867106,0.9711233951567042,-3.366957540119182,-4.4211707455696105,16.471522082181068
11,536.3795091147283,-2.4995475518622183,352.3608280455996,538.3903605603587,236.13499855328953,1.0,0.9345121275129356,-0.3519522449175895,0.05307259960390662,0.31896455693941367,0.8942624683399694,0.31393669606299485,-0.15795155886439044,-0.2764493715239282,0.9479594137073244,-1.8664685982642126,-4.074805526982788,13.071033688497545
12,536.3795091147283,-2.4995475518622183,352.3608280455996,538.3903605603587,236.13499855328953,1.0,0.9732786315842242,-0.009382437722303634,0.22943555775844238,-0.02018876333320713,0.9917993504802824,0.126200088042624,-0.2287381016285136,-0.12745986917174124,0.9651076948269071,-4.207332884965041,-2.7198184323786574,13.564676056705533
