World X,World Y,Image X,Image Y
0.0,0.0,389.2679,149.26808
1.0,0.0,391.17487,184.10878
2.0,0.0,393.1823,218.61089
3.0,0.0,395.3611,253.64609
4.0,0.0,397.31464,289.22382
5.0,0.0,399.5618,325.22388
0.0,1.0,368.02832,144.08192
1.0,1.0,369.69836,180.742
2.0,1.0,371.6627,217.13875
3.0,1.0,373.80756,253.95493
4.0,1.0,375.9843,291.3061
5.0,1.0,378.39883,329.1227
0.0,2.0,344.53516,138.28326
1.0,2.0,346.19177,177.08226
2.0,2.0,348.15067,215.39246
3.0,2.0,350.33575,254.26984
4.0,2.0,352.51358,293.61273
5.0,2.0,355.06305,333.56168
0.0,3.0,318.32306,131.64249
1.0,3.0,319.93427,172.81303
2.0,3.0,321.93945,213.39713
3.0,3.0,324.1294,254.5655
4.0,3.0,326.41852,296.3437
5.0,3.0,328.8557,338.66763
0.0,4.0,288.57632,124.20342
1.0,4.0,290.4117,168.01202
2.0,4.0,292.42987,211.21898
3.0,4.0,294.60892,254.98276
4.0,4.0,296.93118,299.50845
5.0,4.0,299.2502,344.6326
0.0,5.0,254.5988,115.47328
1.0,5.0,256.60648,162.44733
2.0,5.0,258.82806,208.62103
3.0,5.0,261.05823,255.47435
4.0,5.0,263.27872,303.08096
5.0,5.0,265.41327,351.54047
0.0,6.0,215.36293,105.37641
1.0,6.0,217.63464,155.79517
2.0,6.0,220.09297,205.59637
3.0,6.0,222.30243,256.00113
4.0,6.0,224.25761,307.29004
5.0,6.0,226.14731,359.58023
0.0,7.0,169.62189,93.53388
1.0,7.0,172.10207,147.9539
2.0,7.0,174.63437,201.91992
3.0,7.0,176.84494,256.63983
4.0,7.0,178.55495,312.34695
5.0,7.0,180.09412,369.10068
0.0,8.0,116.11109,79.91758
1.0,8.0,118.43444,138.72554
2.0,8.0,120.77451,197.56497
3.0,8.0,122.8979,257.39966
4.0,8.0,124.39615,318.38696
5.0,8.0,125.78444,380.1594
